true_group	model1_est	modes2_est	model3_est	model4_est
A2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	A2	A2
NotA2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
